Data,Type,Source,English Translation,Category,100%,Annotation
Hugurbu juta ani hamere di,Comments,Facebook,The dog has bitten the shoes,men/women,20,Not Bully
Bissiri ekku mili tui,Comments,Facebook,You are such an witch women,girl/women,70,Bully
Osod morod tui ekku,Comments,Facebook,You are en evil men,boy/men,70,Bully
Nw madej ar more,Comments,Facebook,Never try to talk with me,men/women,50,Neutral
Bej hoda nw hoj madabu pire gorer,Comments,Facebook,Don't chatter too much my head hurts,men/women,20,Not Bully
Juro guri thak,Comments,Facebook,keep silent,men/women,20,Not Bully
Hoda hole hanot bw nw baje,Comments,Facebook,Who listens to whom,men/women,10,Not Bully
Edok he akkol sara,Comments,Facebook,There is no  common sense,men/women,20,Not Bully
Sedam nei ,Comments,Facebook, You have no brave,men/women,60,Bully
Manjo sangsara nw pettele hei nw pai dw,Comments,Facebook,There is no food if you do not seek it from people,men/women,60,Bully
Juj guriei nejei e pojagani,Comments,Facebook,The thing was taken quietly,men/women,20,Not Bully
Cugurot haal banem,Comments,Facebook,I'll make you deaf with a slap,men/women,50,Neutral
Bek sej guri dili,Comments,Facebook,You ruined  all of things,men/women,30,Not Bully
Fodang thang,Comments,Facebook,Crystal clear,men/women,20,Not Bully
Fogodang gorana,Comments,Facebook,"disclosure,publish",men/women,10,Not Bully
Suddeng mui,Comments,Facebook,Fucker face,men/women,100,Bully
Cheng,Comments,Facebook,Cock,men/women,100,Bully
Cheng mui,Comments,Facebook,Cock face,men/women,100,Bully
codoler hiye,Comments,Facebook,Eater of shit,men/women,100,Bully
mujjuj tui essi,Comments,Facebook,You will finish today,men/women,80,Bully
Essi ar noi ar,Comments,Facebook,No more today,men/women,20,Not Bully
he goror ekkunu?,Comments,Facebook,what are you doing right now?,men/women,0,Not Bully
Mono hoda hulohobar honojon nei,Comments,Facebook,There is no one to talk about innermind,men/women,0,Not Bully
Mui ow jem tologe,Comments,Facebook,I'll go with you too,men/women,0,Not Bully
Mui e an loi jinongor,Comments,Facebook,I can't bear it,men/women,40,Not Bully
E ut thei nw parongor,Comments,Facebook,I can't stay here,men/women,30,Not Bully
Bazarat jem essi,Comments,Facebook,I'll go to market today,men/women,0,Not Bully
Tw dokki bojong maney mui nwdegong ar,Comments,Facebook,I have never seen a bad person like you,men/women,50,Neutral
Ene bej gorotte noine?,Comments,Facebook,Why you cross  over your limit?,men/women,40,Not Bully
Jhora padar jinghani,Comments,Facebook,life is like a fall leafes,men/women,0,Not Bully
Pet purelloi,Comments,Facebook,I am hungry,men/women,0,Not Bully
Bej hoda nw hoj cugor hebe,Comments,Facebook,Don't talk too much else I will slap you,men/women,60,Bully
Hudu jotte?,Comments,Facebook,Where are you going?,men/women,0,Not Bully
Nw em ar mui,Comments,Facebook,I never come here,men/women,0,Not Bully
Ladi hei pebe,Comments,Facebook,I will kick you,men/women,60,Bully
Nw madij tui,Comments,Facebook,Don't talk,men/women,40,Not Bully
Heya gan piri oyi,Comments,Facebook,The body hurts,men/women,20,Not Bully
Hole u baje nw hole u baje,Comments,Facebook,Even if I talk or not  there is always fighting,men/women,30,Not Bully
Por uyi,Comments,Facebook,The light came on,men/women,0,Not Bully
Sizi jodon,Comments,Facebook,Happy wedding,men/women,0,Not Bully
Sizi jonompuri,Comments,Facebook,Happy Birthday,men/women,0,Not Bully
E an habi de,Comments,Facebook,Cut it,men/women,0,Not Bully
Pekkun dogorodon,Comments,Facebook,The birds are chirpping,men/women,0,Not Bully
Jibon an dol og tor,Comments,Facebook,may your life be filled with happiness,men/women,0,Not Bully
mui jangolloi,Comments,Facebook,I am leaving,men/women,0,Not Bully
more gai  thebar de tui,Comments,Facebook,let me be alone,men/women,0,Not Bully
Mor hebar mone nw hor,Comments,Facebook,I don't want to eat,men/women,0,Not Bully
Ghum jem,Comments,Facebook,I will sleep,men/women,0,Not Bully
Jebongoi ami,Comments,Facebook,We will go,men/women,0,Not Bully
Admot jebong,Comments,Facebook,We wil go to village,men/women,0,Not Bully
Ekkana u sod nei,Comments,Facebook,There is no taste,men/women,0,Not Bully
Ekkan hoda u nw hoj ,Comments,Facebook,Don't say a single word,men/women,50,Neutral
Hissu gom nw lager ar mor,Comments,Facebook,Nothing feels right,men/women,0,Not Bully
Mui ekku ham gorongor,Comments,Facebook,I am working now,men/women,0,Not Bully
Jharbo bele,Comments,Facebook,The wild cat,girl/women,10,Not Bully
Sappu hodor mari diye,Comments,Facebook,The snake hunted pigeon,men/women,0,Not Bully
Edu ai,Comments,Facebook,come here,men/women,0,Not Bully
Hejan choler ?,Comments,Facebook,What's up?,men/women,0,Not Bully
Bek gom choler?,Comments,Facebook,Is everything goes well?,men/women,0,Not Bully
Gorot bekkuni hejan agon?,Comments,Facebook,How is everyone at home?,men/women,0,Not Bully
bekkuni milinei suge thago,Comments,Facebook,Be happy with everyone,men/women,0,Not Bully
ama edu bereugi,Comments,Facebook,come to visit my place,men/women,0,Not Bully
tomare bekkunore diginei gom lagilu,Comments,Facebook,I am glad to see you all,men/women,0,Not Bully
bat hemmoi,Comments,Facebook,I will eat meal,men/women,0,Not Bully
Dinhal henjan jar?,Comments,Facebook,How's the days are goinng?,men/women,0,Not Bully
pottapotti,Comments,Facebook,Butterfly,animals,0,Not Bully
Huttukhadak,Comments,Facebook,Hedgehog,animals,0,Not Bully
sugor era,Comments,Facebook,pork meat,animals,0,Not Bully
Cha but cini bej oyi,Comments,Facebook,Tea is high in sugar,men/women,0,Not Bully
Tui more hoj nw paj?,Comments,Facebook,Don't you love me?,men/women,0,Not Bully
Tui he gessig guri more hojpaj?,Comments,Facebook,Do you really love me?,men/women,0,Not Bully
Chanan utti,Comments,Facebook,The moon have arise,nature,0,Not Bully
Tore edot uder,Comments,Facebook,I miss you,men/women,0,Not Bully
Tore gom pang,Comments,Facebook,I like you,men/women,0,Not Bully
Tor more edot nw ude?,Comments,Facebook,Don't you miss me?,men/women,0,Not Bully
Valedi thelo,Comments,Facebook,Good luck,men/women,0,Not Bully
Ma loge bazarot jiung,Comments,Facebook,I went to market with my mother ,men/women,0,Not Bully
Helli jemboi,Comments,Facebook,Tomorrrow I will go,men/women,0,Not Bully
Ejette majot porikke  obo,Comments,Facebook,Next month our exam will be held,men/women,0,Not Bully
Ejette majot tour ot jebong,Comments,Facebook,We will be going on tour next month,men/women,0,Not Bully
Gele helli tara jiounnoi,Comments,Facebook,They have gone yesterday,men/women,0,Not Bully
jei bazarot jei,Comments,Facebook,let's go to market,men/women,0,Not Bully
Tara helli ebak,Comments,Facebook,They are coming tommrow,men/women,0,Not Bully
Jei ada jei,Comments,Facebook,Let's go for a walk ,men/women,0,Not Bully
Benni jadi udij,Comments,Facebook,Early to rise in the morning,men/women,0,Not Bully
Redot juni jolon,Comments,Facebook,In the night fireflies are blinking,men/women,0,Not Bully
Redot taragun jolon,Comments,Facebook,In the night stars are blinking,men/women,0,Not Bully
Tu bari aahoballi,Comments,Facebook,You are so unlucky,men/women,20,Not Bully
Helli hudu jebe?,Comments,Facebook,Where yo'll go tomorrow?,men/women,0,Not Bully
Mile an morod?,Comments,Facebook, boy or girl?,men/women,10,Not Bully
Edu ai,Comments,Facebook,come here,men/women,0,Not Bully
NW de rej,Comments,Facebook,Don't be afraid,men/women,0,Not Bully
Tw lendi nw sej,Comments,Facebook,Don't look down,men/women,0,Not Bully
Nw hom mui tore,Comments,Facebook,I don'r tell you,men/women,0,Not Bully
Hurobu boda pajji,Comments,Facebook,The hen lays an egg,animals,0,Not Bully
Dibujji madan ej ama edu,Comments,Facebook,Come to my house at afternoon,men/women,0,Not Bully
Hudu jebe ekkunu?,Comments,Facebook,Where you go now?,men/women,0,Not Bully
Sedam age ni sian giribar?,Comments,Facebook,Don't you dare to do that?,men/women,10,Not Bully
Hissu hobor nei,Comments,Facebook,Threre is no news ,men/women,0,Not Bully
Hissu ham nei guribar,Comments,Facebook,Threre is no work to do,men/women,10,Not Bully
Honojon nei gob dibar,Comments,Facebook,There is no one to chit-chat,men/women,10,Not Bully
Hokke ebe?,Comments,Facebook,When you'il come?,men/women,0,Not Bully
Sian tui hudu sug piuj?,Comments,Facebook,Where did you find this?,men/women,0,Not Bully
Edu mela bojibode,Comments,Facebook,Here will held fair,men/women,0,Not Bully
Bellindi melat jebong,Comments,Facebook,We will go to fair at night,men/women,0,Not Bully
Ama loge milijji tui,Comments,Facebook,Come to join us,men/women,0,Not Bully
Gorot hokke jebe?,Comments,Facebook,When will you go back home?,men/women,0,Not Bully
Jadi ai,Comments,Facebook,hurry back,men/women,10,Not Bully
 Mui tore monot tuli di nw parongor,Comments,Facebook,I can't reminding you,men/women,10,Not Bully
Tore puri fellungoi mui,Comments,Facebook,I forgot you,men/women,10,Not Bully
Tore monot tuli nw parongor mui,Comments,Facebook,I can't remember you,men/women,10,Not Bully
Tore jiani huji gorai se jinissani togebede,Comments,Facebook,Find those things that makes you happy,men/women,0,Not Bully
Jekke odo sat dol dol side guribide,Comments,Facebook,Always thinks positive,men/women,0,Not Bully
Se haman gorana dol nw oi dw tor,Comments,Facebook,You shouldn't do those things,men/women,10,Not Bully
Tar hoibu guro oiun?,Comments,Facebook,How many children they have?,men/women,0,Not Bully
Hodok ?,Comments,Facebook,price?,product,0,Not Bully
Haman jadi sej gor puribode,Comments,Facebook,The work should be finish soon,men/women,0,Not Bully
Bek jinissani vangi jiye,Comments,Facebook,All objects are broken,product,10,Not Bully
Hoda hole hiya nw bujoj?,Comments,Facebook,Why don't you understand my words?,men/women,10,Not Bully
Sidu ghor tulibongoi,Comments,Facebook,We will build house there,men/women,0,Not Bully
Pera-seda,Comments,Facebook,ominous,men/women,30,Not Bully
Noi hoda,Comments,Facebook,superstition,men/women,10,Not Bully
Se hoda ekkan na u nw hoj,Comments,Facebook,Don't tell those words,men/women,10,Not Bully
Tore nw hom mui,Comments,Facebook,I don't tell you,men/women,10,Not Bully
Ham gurimboi,Comments,Facebook,I will do the work,men/women,10,Not Bully
Tui more monod duk hitte dujji,Comments,Facebook,Why  you hurt me,men/women,10,Not Bully
Nw jej,Comments,Facebook,Don't go,men/women,10,Not Bully
Pagol ow hoda,Comments,Facebook,Crazy delirium,men/women,30,Not Bully
Mide hodaloi mon bule nw dij,Comments,Facebook,Don't illusion of your sweet words,men/women,30,Not Bully
More nw hanej ar tui,Comments,Facebook,Don't try to make me cry,men/women,10,Not Bully
Mui hissu hobor nw pang,Comments,Facebook,I don't know anything,men/women,10,Not Bully
Tumi he ebade?,Comments,Facebook,Will you (plural) come?,men/women,0,Not Bully
Tumi he bekkuni ebade?,Comments,Facebook,Will all of you are come?,men/women,0,Not Bully
Tui he ebede?,Comments,Facebook,Will you come?,men/women,0,Not Bully
"Jadi,madi sej gor",Comments,Facebook,Finish it quickly,men/women,20,Not Bully
Sidu jebatte mui,Comments,Facebook,I will go there,men/women,0,Not Bully
Jebede nahi tui?,Comments,Facebook,Will you go?,men/women,0,Not Bully
Nw dim tore mui,Comments,Facebook,I don't give you,men/women,0,Not Bully
Ei majot tar mela obo,Comments,Facebook,She is getting married this month,men/women,0,Not Bully
Ejette majot tarare jora bani dibong,Comments,Facebook,next month they will getting marrried,men/women,0,Not Bully
Nw arim ar,Comments,Facebook,I can't do it anymore,men/women,0,Not Bully
Redot he ton hebe?,Comments,Facebook,What  do you  eat for dinner?,men/women,0,Not Bully
Dibujji he ton hebe?,Comments,Facebook,What do  you eat for lunch?,men/women,0,Not Bully
Gaj lagem,Comments,Facebook,I plant tree,men/women,0,Not Bully
Redot ole peja bu dogore,Comments,Facebook,The owl calls at night,men/women,0,Not Bully
Te sega heyi,Comments,Facebook,He/she was cheated,men/women,10,Not Bully
Mui siani bissej nw jang,Comments,Facebook,I don't believe this,men/women,10,Not Bully
Gorot jem,Comments,Facebook,Let's go home,men/women,0,Not Bully
Bazarot jei,Comments,Facebook,Let's go to market,men/women,0,Not Bully
Ma dager,Comments,Facebook,Mom is calling,men/women,0,Not Bully
Baa dager,Comments,Facebook,Father is calling,men/women,0,Not Bully
Te haner,Comments,Facebook,She/He is callling,men/women,0,Not Bully
Mudo ejer/Mui mudim,Comments,Facebook,I want to pee,men/women,0,Not Bully
Aga ejer/ agim,Comments,Facebook,I want to go to the toilet,men/women,0,Not Bully
Gurobu haner,Comments,Facebook,The baby is crying,men/women,0,Not Bully
Mogoda guro bu haner,Comments,Facebook,The dead(as slang words) baby is crying ,men/women,100,Bully
Hujje bajadon,Comments,Facebook,They are quaralling,men/women,30,Not Bully
Pije dagi gorot beremboi,Comments,Facebook,I will visit my paternal aunt's house,men/women,0,Not Bully
Fullo fuder,Comments,Facebook,The flower is blooming,men/women,0,Not Bully
Debabu jhimilar,Comments,Facebook,Lightning flashes in the sky,men/women,0,Not Bully
Debabu jhor der,Comments,Facebook,It  is storming,men/women,0,Not Bully
Debabu gujurer,Comments,Facebook,It is thundering,men/women,0,Not Bully
Tara etton,Comments,Facebook,They are coming ,men/women,0,Not Bully
Tara jadon,Comments,Facebook,They are going,men/women,0,Not Bully
Bajje thak,Comments,Facebook,wait for me,men/women,0,Not Bully
Amattei bajje thago,Comments,Facebook,wait for us,men/women,0,Not Bully
Bajje thei nw parim,Comments,Facebook,I can't wait for you,men/women,0,Not Bully
Palle par nw palle nei,Comments,Facebook,If yes then do or don't ,men/women,0,Not Bully
jebena nw jebe,Comments,Facebook,Do you want to go or not?,men/women,0,Not Bully
Ta hoda nw hoj,Comments,Facebook,Don't talk about him/her,men/women,0,Not Bully
Te ajer,Comments,Facebook,He/she is laughing,men/women,0,Not Bully
E an lw,Comments,Facebook,take it,men/women,0,Not Bully
Sian nw laj,Comments,Facebook,Don't take it,men/women,0,Not Bully
Sian hoja ja,Comments,Facebook,Bring that,men/women,0,Not Bully
Pani hebar mone hor,Comments,Facebook,I want to drink water,men/women,0,Not Bully
Bhat hebar mone hor,Comments,Facebook,I want to eat rice,men/women,0,Not Bully
Mui tw ugure rag uttung,Comments,Facebook,I am angry with you,men/women,0,Not Bully
Te mw ugure rag utti,Comments,Facebook,He/she is angry with me,men/women,0,Not Bully
Jinghanianot hisuu nei,Comments,Facebook,There is nothing in my life,men/women,0,Not Bully
Fullo dol,Comments,Facebook,The flower is beautiful,men/women,0,Not Bully
Hugurbu buger,Comments,Facebook,the dog is barking,men/women,0,Not Bully
Hajor ow baj nigiler,Comments,Facebook,Foul smell is coming out,men/women,10,Not Bully
Tumbaj ejer,Comments,Facebook,Fragrance is coming out,men/women,0,Not Bully
Dattun dulimboi,Comments,Facebook, I will Brush my teeth,men/women,0,Not Bully
Boi purim,Comments,Facebook,I wil read the book,men/women,0,Not Bully
Aro he hom,Comments,Facebook,what else to say,men/women,0,Not Bully
Gari an dogorer,Comments,Facebook,The car is horning,men/women,0,Not Bully
Gari an ejer,Comments,Facebook,The car is coming,men/women,0,Not Bully
Tw muan sebar sang,Comments,Facebook,I want to see your face,men/women,0,Not Bully
Te fallaar,Comments,Facebook,He/she is jumping,men/women,0,Not Bully
Te daba der,Comments,Facebook,He/she is running,men/women,0,Not Bully
Te huro era loi bat hebo,Comments,Facebook,He/she is eating rice with chiken,men/women,0,Not Bully
Red olli,Comments,Facebook,It is having night,men/women,0,Not Bully
Poran sular,Comments,Facebook,My heart is aching,men/women,0,Not Bully
ghum ejer,Comments,Facebook,I am feeling sleepy,men/women,0,Not Bully
Garian hitte siut thoiuj?,Comments,Facebook,Why did you keep the car here?,men/women,0,Not Bully
Mod hebar mone hor,Comments,Facebook,I want to drink alcohol,men/women,0,Not Bully
Megh ani agjot bajer,Comments,Facebook,The clouds are floating in the sky,men/women,0,Not Bully
Te he oyede?,Comments,Facebook,what happened,men/women,0,Not Bully
Jadi ja hakke mer hebe,Comments,Facebook,Hurry or you will bw beaten,men/women,50,Neutral
Te tor he hobor?,Comments,Facebook,what about you?,men/women,0,Not Bully
Henjan  agoz?,Comments,Facebook,How are you?,men/women,0,Not Bully
Bissonot purinei ghum jem,Comments,Facebook,I will lie down in bed and sleep,men/women,0,Not Bully
Tore cindem,Comments,Facebook,I will pinch you,men/women,10,Not Bully
Tore mui ghusi marim,Comments,Facebook,I will punch you,men/women,10,Not Bully
Ta culan lamba,Comments,Facebook,She/he has long hair,men/women,10,Not Bully
Fatto berana jindipai,Comments,Facebook,Wandering here and there,men/women,10,Not Bully
Somot nw duj hitte tui,Comments,Facebook,Why are you not responding?,men/women,10,Not Bully
tui jagattun nw sattaj,Comments,Facebook,You are lazy,men/women,50,Neutral
Edokki hajor tui,Comments,Facebook,why are you so dirty,men/women,50,Neutral
Haja ejer,Comments,Facebook,I will be caughing,men/women,0,Not Bully
Mor hana ejer,Comments,Facebook,I wll be be crying,men/women,0,Not Bully
bhante bondona gorer,Comments,Facebook,The monk is praying,,0,Not Bully
Mor hoda fureyegoi,Comments,Facebook,I'm done,men/women,0,Not Bully
Mor mone nw hor,Comments,Facebook,I don't want to do it,men/women,0,Not Bully
Gassonot pani dungor,Comments,Facebook,I watering to my plants,men/women,0,Not Bully
Monot nw uder,Comments,Facebook,I can't remind  it,men/women,0,Not Bully
Tore puri felem,Comments,Facebook,I will forget you,men/women,0,Not Bully
Mottun alsi gorer,Comments,Facebook,I am feeling lazy,men/women,0,Not Bully
Bujji huro ghu dujji,Comments,Facebook,The old man caught chicken droppings,men/women,0,Not Bully
Tw loge neja more ,Comments,Facebook,Take me with you,men/women,0,Not Bully
tw lokkon an awi sikkin,Comments,Facebook,Why your face look like that?,men/women,0,Not Bully
Tore nw pele mui murim,Comments,Facebook,I will die without you,men/women,0,Not Bully
tw paja ani citto hitte,Comments,Facebook,Why is your butt small?,men/women,0,Not Bully
Hudu elede tui?,Comments,Facebook,Where were you?,men/women,0,Not Bully
Mui hibir nwpang,Comments,Facebook,I don't know,men/women,0,Not Bully
Fuluno rongani je dol,Comments,Facebook,The flowers colour is so beautiful,men/women,0,Not Bully
Mui sidu em,Comments,Facebook,I will come there,men/women,0,Not Bully
Mui helli class ot jem,Comments,Facebook,Tomorrrow I will go to class,men/women,0,Not Bully
Nw hoj ar tui,Comments,Facebook,Never talk with me,men/women,0,Not Bully
Hundi?,Comments,Facebook,which way?,men/women,0,Not Bully
My poranan,Comments,Facebook,My heart,men/women,0,Not Bully
Cikko tui nw hanij,Comments,Facebook,Darling don't cry,men/women,0,Not Bully
He ton rannotte tui?,Comments,Facebook,What are you cooking?,men/women,0,Not Bully
He dibi tui more?,Comments,Facebook,What do you give me?,men/women,0,Not Bully
mor talloi hoda age,Comments,Facebook,I have to talk with you,men/women,0,Not Bully
Tui hitte mw jibonot ele?,Comments,Facebook,Why you came into my life?,men/women,0,Not Bully
Talloi hoda  hoi puribu mor,Comments,Facebook,I need to talk with you,men/women,0,Not Bully
Mui esii bari huji oiung,Comments,Facebook,I am so happy today,men/women,0,Not Bully
Tui ekki aa hoballi,Comments,Facebook,You are so unlucky,men/women,50,Neutral
Mor somoy nei ,Comments,Facebook,I have no time,men/women,0,Not Bully
Mor jaga nei tore dibar,Comments,Facebook,I have no space for you,men/women,10,Not Bully
Mui hoi nw parim,Comments,Facebook,i can't tell,men/women,10,Not Bully
Jedong nahi?,Comments,Facebook,shall we go?,men/women,10,Not Bully
Mor tenga nei,Comments,Facebook,I have no money,men/women,10,Not Bully
Mor  gorot monot uder,Comments,Facebook,I am missing my home,men/women,10,Not Bully
Mor ekku hugur age,Comments,Facebook,I have a dog,men/women,10,Not Bully
Pekkun  agajot urodon,Comments,Facebook,The birds are flying in the sky,nature,10,Not Bully
Tara jadonnoi,Comments,Facebook,They are leaving,men/women,10,Not Bully
He guribi tui ekku?,Comments,Facebook,What will you do now?,men/women,10,Not Bully
Mw monan aare fellung mui,Comments,Facebook,I have lost my mind,men/women,10,Not Bully
Godajinghanit sugi oj tui,Comments,Facebook,Be happy forever,men/women,10,Not Bully
essi sidu bera jebong,Comments,Facebook,Today we will visit there,men/women,10,Not Bully
Sian guribar mone nw hor mottun,Comments,Facebook,I don't want to do that,men/women,10,Not Bully
Mui tore hoj piung,Comments,Facebook,I was loved you,men/women,10,Not Bully
Hitte bekkani bana malloi oi? ,Comments,Facebook,Why everything happen with me?,men/women,10,Not Bully
Fulun je tumbaj,Comments,Facebook,The flowers are rich in beautiful fregrant,nature,10,Not Bully
Aam ow oktot aju daidu beremboi,Comments,Facebook,I will go to visit my grandfather's home in the season of mango,men/women,10,Not Bully
Jadi madi ej,Comments,Facebook,Must come soon,men/women,10,Not Bully
More juro bane jeyi,Comments,Facebook,he silenced me,men/women,10,Not Bully
Tui hitte more nw bujor?,Comments,Facebook,Why don't you understand me?,men/women,10,Not Bully
Essi juno por an  je dol,Comments,Facebook,Today's moonlight is so beautiful,men/women,10,Not Bully
Essi bej jar pojji,Comments,Facebook,It is very cold today,men/women,10,Not Bully
Hudu berebongoi essi?,Comments,Facebook,Where  we will  visit today?,men/women,10,Not Bully
nw hom ar hissu tore,Comments,Facebook,I won't tell you anything more,men/women,10,Not Bully
Hole bej gorossi tui,Comments,Facebook,You are doing more after I told it,men/women,10,Not Bully
mui essi sajurimmoi ,Comments,Facebook,I will swimming today,men/women,10,Not Bully
Jharot bera jebong,Comments,Facebook,We will go to visit in the forest,men/women,10,Not Bully
Jharo alu togebongoi,Comments,Facebook,We will find forest potato,men/women,10,Not Bully
Ami tare togebongoi,Comments,Facebook,We will find him,men/women,10,Not Bully
ami jarhalle tonpat lagiye,Comments,Facebook,We have planted winter vegetable,men/women,10,Not Bully
Siani tui more nw hoj,Comments,Facebook,Don't talk about  this to me,men/women,10,Not Bully
Mor bat rana puribu,Comments,Facebook,I have to cook,men/women,10,Not Bully
Sulummun ulloi ja,Comments,Facebook,Wear your cloths,men/women,10,Not Bully
Gattoi ja,Comments,Facebook,Take  shower,men/women,10,Not Bully
Malloi mije hoda nwhoj ,Comments,Facebook,Don't lie with me,men/women,10,Not Bully
Buer bar,Comments,Facebook,The air is blowing,men/women,10,Not Bully
Debabu megulo gossi,Comments,Facebook,The sky is become cloudy,men/women,10,Not Bully
Jhor der,Comments,Facebook,It is rainning,men/women,10,Not Bully
Essi je rood,Comments,Facebook,Today is very sunny,men/women,10,Not Bully
Essi bari gorom,Comments,Facebook,Today is very hot,men/women,10,Not Bully
Hugurbu hodor hameriye,Comments,Facebook,The dog bit the pigeon,men/women,10,Not Bully
Beleibu undur majji,Comments,Facebook,The cat hunt the rat,men/women,10,Not Bully
Gari salana sigimboi,Comments,Facebook,I will learn driving,men/women,10,Not Bully
sidu jemboi mui,Comments,Facebook,I will go there,men/women,10,Not Bully
Helli ama gorot ej,Comments,Facebook,Come to my house tomorrow,men/women,10,Not Bully
E an haa,Comments,Facebook,Eat this,men/women,10,Not Bully
Ei dud an ha,Comments,Facebook,Drink  this milk,men/women,10,Not Bully
Borjonore manno gossu,Comments,Facebook,Respect to elders,men/women,10,Not Bully
Tara tor gom san,Comments,Facebook,They want you to succeed,men/women,10,Not Bully
Mui ow pekkun ow dok oi pattung,Comments,Facebook,If I were like a bird,men/women,10,Not Bully
caguri togemmoi mui,Comments,Facebook,I will find a job,men/women,10,Not Bully
Bej durot nw jej,Comments,Facebook,Don't go too far,men/women,10,Not Bully
Mui ow tw loge jem,Comments,Facebook,I will go along with you,men/women,10,Not Bully
Gome dale thej,Comments,Facebook,stay well and healthy,men/women,10,Not Bully
More bol degi,Comments,Facebook,help me,men/women,10,Not Bully
tui essi he ton hebe?,Comments,Facebook,What do you want to eat today?,men/women,10,Not Bully
Tare hoja ja,Comments,Facebook,Receive him/her,men/women,10,Not Bully
hattol u hoja ja,Comments,Facebook,bring the jackfruit,food,10,Not Bully
seidinun edot uder,Comments,Facebook,I am missing those days,men/women,10,Not Bully
Belan duppegoi,Comments,Facebook,The sun has set,nature,10,Not Bully
Benni huo pore,Comments,Facebook,In the morning there is seen fog,nature,10,Not Bully
Essi amar biju,Comments,Facebook,Today is our bizu(biggest festival of chakma),men/women,10,Not Bully
Benni ful tulimboi,Comments,Facebook,I will pick flowers in the morning,men/women,10,Not Bully
Tara loge jebar mone hor,Comments,Facebook,I wish I  could go with them,men/women,10,Not Bully
Gomedale hoda hoj,Comments,Facebook,speak with good manner,men/women,10,Not Bully
Hokke hebe?,Comments,Facebook,When will you eat?,men/women,10,Not Bully
Bazarwttun hinnung,Comments,Facebook,bought from the market,men/women,10,Not Bully
Tar tag utte,Comments,Facebook,He/she became angry,men/women,10,Not Bully
tore swbone dekkung,Comments,Facebook,I saw you in my dream,men/women,10,Not Bully
Te bari gom,Comments,Facebook,He/she is so kind,men/women,10,Not Bully
 mui hoipolla hoiung tore,Comments,Facebook,how many times  I have told you,men/women,10,Not Bully
tore hitte hodung,Comments,Facebook,For what I tell you?,men/women,10,Not Bully
Mui tore hitte hongor,Comments,Facebook,For what I am telling you?,men/women,10,Not Bully
tui ekki bojong,Comments,Facebook,why are you so bad?,men/women,10,Not Bully
redot ej ama edu,Comments,Facebook,come to my home at night,men/women,10,Not Bully
Gorba,Comments,Facebook,Guest,men/women,10,Not Bully
Jebe nahi mw loge?,Comments,Facebook,Are you going to along with me?,men/women,10,Not Bully
pokti,Comments,Facebook,fatty/fat,men/women,10,Not Bully
hengodi,Comments,Facebook,thiny/thin,men/women,10,Not Bully
halabi/haladhon,Comments,Facebook,black/blacky,men/women,10,Not Bully
redo mai edo ham!,Comments,Facebook, Even heavy work in the night too!,men/women,10,Not Bully
redot bat hiussi?,Comments,Facebook,Do  you have dinner?,men/women,10,Not Bully
Homba sela,Comments,Facebook,How fat you are!,men/women,10,Not Bully
Mui hebar nw sang,Comments,Facebook,I don't want to eat,men/women,10,Not Bully
Sugye takko deh tumi,Comments,Facebook,May you be happy,all,0,Not Bully
baba mar he dos vai.....nijer bala pagole o buje,Comments,Facebook,What is the fault of their parents…Even the mad people understand their own good,men + women,50,Neutral
hugure o 9hebak,Comments,Facebook,even the dogs won't eat,women/girls,70,Bully
Mui bijem Hdk guri hinebe,Comments,Facebook,"I will sell, how much would you like to buy",product,0,Not Bully
te siyani he gorana,Comments,Facebook,then what to do with that,product,0,Not Bully
siyani hikken guri bejana,Comments,Facebook,how to sell those,product,0,Not Bully
Mui o bejim,Comments,Facebook,I will sell too,product,0,Not Bully
Bangudi dol age,Comments,Facebook,this bengali is beautiful,women/girls + community,50,Neutral
En e digile dukko lage goi,Comments,Facebook,I feel pain after seeing this,women/girls,0,Not Bully
Changma jaador nak ojol gori paror,Comments,Facebook,you are making the chakma community proud,woman/girls,100,Bully
Emba2 seli oiyon ahi help,Comments,Facebook,they have become so big so why do they need help,women/girls,20,Not Bully
Chakma blocker unore haja jarbo hoju habe du,Comments,Facebook,let the chakma bloggers eat raw wild cucumber,bloggers,20,Not Bully
"Cibe ene sotik number oy na noy,,, anjade tk send dile hudu jebak tk un,,, nahe banggal o adot jebak",Comments,Facebook,is the number right or wrong…no one knows where the money will go after sending…otherwise the bengalis will get the money,community,0,Not Bully
Tar babare ar tar mare degesh Paltu bedio,Comments,Facebook,show your mother and father this useless video,men + women,50,Neutral
Mora lakke pare hole paros c i,Comments,Facebook,you dead person do whatever you want,men/boys,50,Neutral
Ebe muribo bej deri nei r,Comments,Facebook,she will die in no time,women/girls,50,Neutral
Mogoda lagoni Rangamati no jes baji tebar mone ole,Comments,Facebook,you dead person don't go to rangamati unless you want to live,women/girls,100,Bully
Hoidin paroj tak nah huttor bassoni,Comments,Facebook,how long can you survive you daughter of a bitch,women/girls,100,Bully
Hange sudi arok jonomot posu abede tui manuj ei noparibe I je pap Grr,Comments,Facebook,you daughter of a prostitute you will come as an animal in your next life the way you are doing sin,women/girls,100,Bully
Bej nudi gale huttun,Comments,Facebook,she is very overacting,women/girls,50,Neutral
Noi leran muganot gulos c sene cgun utton de,Comments,Facebook,you put semen in your mouth that is why these pimples have grown,women/girls,100,Bully
