Data,Type,Source,English Translation,Category,100%,Annotation
"ম হদা অলদে তারে ফিরি আনা না নয়,,মারে পেলা না অথবা গাদদ দেনা জেদা বাদে,,",Comments,Facebook,"I want to say that we should not bring her, we should kill her or burry her in the soil alive",women/girls,100,Bully
সেই চামুক পঁচা বালির হুদা ন হোচ বেই।,Comments,Facebook,brother don't talk about that rotten bitch,women/girls,100,Bully
সে মগদা লাগনি হুদা ইককা ন হোচ,Comments,facebook,don't talk about that dead bitch,women/girls,100,Bully
হি লের গুরিবা সে মিলেবোরে আনি আনাই।,Comments,Facebook,what the fuck can you do about this after bringing her here,women/girls,70,Bully
যদি এদক পরানে মাগে মরন বর মাগি দু তাত্তেই,Comments,Facebook,If you want this much then wish her death,women/girls,60,Bully
আঞ্চলিক রাজনীতি যিগুন গরদন উজু গেনাংগে এবার,Comments,Facebook,those who are involved in regional politics I just hate them,politics,50,Neutral
মামিয়া ইক্কু বাঙালোই চুদো চুদির দলের সভাপতি।,Comments,Facebook,Mamiya is now a president of sex community of the bengali's,women/girls,100,Bully
লাগদ পেলে মগদাবিরে বালান হাবি দু,Comments,Facebook,if you find her then cut the vagina of that bitch,women/girls,100,Bully
তে বাঙাল লোক্কোই তে হিত্তে চাকমা গুনরে গবে মাগিনি।,Comments,Facebook,"let her marry the bengali guy,but why does that bitch scolds the chakma community people",women/girls,60,Bully
আমা আঞ্চলিক দলত্তুন সেদাম নেই।চোক্কুন হান।,Comments,Facebook,"Our regional politicians don't have guts, they are blind",politics,60,Bully
তাম্মারে সুদোপরিবুদে,Comments,Facebook,fuck her mother,women/girls,100,Bully
উত্তর দেনা হুব দোল ওয়ি ,Comments,Facebook,you have given the nicest answer,men/boys,0,Not Bully
জুম্ম পেইজ নিনে হিজু হদা যিয়ানি মর হুব হিক্কে হিক্কে লাগের।,Posts,Facebook,some thoughts on jumma pages and how I feel,all,0,Not Bully
লের কা মগদামি ,Posts,Facebook,eat samen you bitch,women/girls,100,Bully
গোদা জুলআনি সুগে দি বাআললে বেজ নবাজিবি আর পেলে দিবু দে।,Comments,Facebook,the bengali guy has fucked you so much that you will die soon,women/girls,100,Bully
